                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.017,                 2.9912,                  1.089,                0.51072,                0.27882,                0.27603,                0.14441,                 1.9034,                 2.1786,                 1.0682,                      0,                      0,                      0
                      2,                 1.8643,                 3.0394,                0.99761,                0.49348,                0.27931,                0.27783,                0.14451,                 1.9026,                 2.1699,                 1.0662,             5.5889e-06,             5.5889e-06,             5.5889e-06
                      3,                 2.0712,                  2.824,                 1.1956,                0.44138,                0.29311,                 0.2784,                0.14831,                 1.8876,                  2.146,                 1.0626,             1.0596e-05,             1.0596e-05,             1.0596e-05
                      4,                 1.8586,                 2.7654,                 1.0059,                0.42388,                0.29928,                0.29366,                0.15313,                 1.8761,                 2.0974,                 1.0606,              1.502e-05,              1.502e-05,              1.502e-05
                      5,                 2.0841,                 3.1735,                 1.2101,                0.42696,                0.32175,                0.30098,                0.15885,                 1.8655,                 2.0459,                 1.0559,             1.8863e-05,             1.8863e-05,             1.8863e-05
                      6,                 1.6955,                 2.5753,                0.99225,                0.44118,                0.33312,                0.31564,                0.17198,                 1.8416,                 1.9983,                  1.053,             2.2123e-05,             2.2123e-05,             2.2123e-05
                      7,                  2.251,                 2.6959,                  1.412,                0.46907,                0.34143,                0.31771,                0.17659,                 1.8211,                 1.9349,                   1.05,             2.4802e-05,             2.4802e-05,             2.4802e-05
                      8,                 2.0209,                 2.3797,                 1.0791,                0.47654,                0.33958,                0.32211,                0.18074,                 1.8041,                 1.8789,                 1.0454,             2.6898e-05,             2.6898e-05,             2.6898e-05
                      9,                 1.6764,                 1.9939,                0.99658,                0.47654,                0.33958,                0.32211,                0.18074,                 1.8041,                 1.8789,                 1.0454,             2.8412e-05,             2.8412e-05,             2.8412e-05
                     10,                 1.7497,                 2.0944,                 1.0771,                0.37085,                0.33778,                0.36421,                0.21664,                 1.7798,                 1.8152,                   1.04,             2.9344e-05,             2.9344e-05,             2.9344e-05
                     11,                 1.9167,                 2.3983,                 1.1386,                0.37085,                0.33778,                0.36421,                0.21664,                 1.7798,                 1.8152,                   1.04,             2.9694e-05,             2.9694e-05,             2.9694e-05
                     12,                 1.8545,                 2.3544,                 1.1197,                0.22575,                0.41138,                0.40707,                0.25327,                 1.7646,                 1.7596,                 1.0359,             2.9462e-05,             2.9462e-05,             2.9462e-05
                     13,                 1.8837,                 2.1683,                 1.1367,                0.22575,                0.41138,                0.40707,                0.25327,                 1.7646,                 1.7596,                 1.0359,             2.8647e-05,             2.8647e-05,             2.8647e-05
                     14,                  1.965,                 2.4062,                 1.1675,                0.30275,                0.56008,                0.40847,                0.25398,                 1.7502,                 1.7317,                 1.0303,             2.7251e-05,             2.7251e-05,             2.7251e-05
                     15,                 1.7885,                 1.7654,                  1.022,                0.30275,                0.56008,                0.40847,                0.25398,                 1.7502,                 1.7317,                 1.0303,             2.5272e-05,             2.5272e-05,             2.5272e-05
                     16,                 1.6718,                 1.9312,                 1.0082,                0.36826,                0.50059,                0.50162,                0.31653,                 1.7293,                 1.6938,                 1.0269,             2.2711e-05,             2.2711e-05,             2.2711e-05
                     17,                 1.6932,                 1.9167,                 1.0845,                0.36826,                0.50059,                0.50162,                0.31653,                 1.7293,                 1.6938,                 1.0269,             1.9569e-05,             1.9569e-05,             1.9569e-05
                     18,                  1.746,                 1.7303,                 1.0216,                0.33594,                0.47297,                0.49175,                0.31654,                 1.7181,                 1.6622,                 1.0241,             1.5844e-05,             1.5844e-05,             1.5844e-05
                     19,                 1.8366,                  1.887,                0.98171,                0.33594,                0.47297,                0.49175,                0.31654,                 1.7181,                 1.6622,                 1.0241,             1.1537e-05,             1.1537e-05,             1.1537e-05
                     20,                 1.7045,                 1.6405,                0.98065,                 0.3422,                0.47508,                0.49886,                0.32014,                 1.7011,                  1.647,                 1.0196,             6.6473e-06,             6.6473e-06,             6.6473e-06
